Bairro,Vizinho,Logradouro,Tipo
Campo Grande,Torreão,Rua Manuel de Barros Lima,residential
Campo Grande,Bairro do Recife,Rua Manuel de Barros Lima,residential
Campo Grande,Santo Amaro,Rua Manuel de Barros Lima,residential
Campo Grande,Arruda,Rua Manuel de Barros Lima,residential
Campo Grande,Peixinhos,Rua Oliveira Fonseca,residential
Peixinhos,Arruda,Rua Colorado,residential
Peixinhos,Campo Grande,Rua Colorado,residential
Peixinhos,Campina do Barreto,Avenida Poeta Vinicius de Morais,residential
Cordeiro,Prado,Rua Eurico de Souza Leão,residential
Cordeiro,San Martin,Rua Eurico de Souza Leão,residential
Cordeiro,Engenho do Meio,Rua Professor Evaldo Altino,residential
Cordeiro,Torrões,Rua Professor Evaldo Altino,residential
Cordeiro,Torre,Rua Eurico de Souza Leão,residential
Cordeiro,Zumbi,Rua Eurico de Souza Leão,residential
Cordeiro,Santana,Rua Eurico de Souza Leão,residential
Cordeiro,Iputinga,Rua Professor Evaldo Altino,residential
Cordeiro,Poço da Panela,Rua Professor Evaldo Altino,residential
Madalena,Graças,Rua José Osório,primary
Madalena,Derby,Rua Real da Torre,primary
Madalena,Paissandu,Rua Real da Torre,primary
Madalena,Ilha do Retiro,Rua Real da Torre,primary
Madalena,Prado,Rua Real da Torre,primary
Madalena,Torre,Rua José Osório,primary
Madalena,Zumbi,Rua José Osório,primary
Torre,Jaqueira,Rua José Bonifácio,primary
Torre,Graças,Rua Professor Trajano de Mendonça,primary
Torre,Cordeiro,Rua Professor Trajano de Mendonça,primary
Torre,Madalena,Rua Professor Trajano de Mendonça,primary
Torre,Zumbi,Rua Professor Trajano de Mendonça,primary
Torre,Santana,Rua José Bonifácio,primary
Zumbi,Prado,Avenida Caxangá,primary
Zumbi,Cordeiro,Rua Frei Teófilo de Virgoleta,residential
Zumbi,Madalena,Avenida Caxangá,primary
Zumbi,Torre,Rua Frei Teófilo de Virgoleta,residential
Santana,Jaqueira,Rua Amaraji,residential
Santana,Cordeiro,Rua Amaraji,residential
Santana,Torre,Rua Amaraji,residential
Santana,Casa Forte,Rua Samuel Farias,residential
Santana,Parnamirim,Rua Amaraji,residential
Santana,Poço da Panela,Rua Samuel Farias,residential
Alto José do Pinho,Casa Amarela,Rua Ori,residential
Alto José do Pinho,Morro da Conceição,Rua Ori,residential
Alto José do Pinho,Bomba do Hemetério,Rua Ori,residential
Alto José do Pinho,Mangabeira,Rua Ori,residential
Alto José do Pinho,Alto Santa Teresinha,Rua Ori,residential
Alto José do Pinho,Alto José Bonifácio,Rua Ori,residential
Alto do Mandu,Casa Amarela,Rua Eliete Aguiar,residential
Alto do Mandu,Monteiro,Rua Eliete Aguiar,residential
Alto do Mandu,Macaxeira,Rua Eliete Aguiar,residential
Alto do Mandu,Nova Descoberta,Rua Eliete Aguiar,residential
Alto do Mandu,Apipucos,Rua Eliete Aguiar,residential
Casa Amarela,Tamarineira,Rua Padre Lemos,secondary
Casa Amarela,Alto José do Pinho,Rua Taquaratinga,tertiary
Casa Amarela,Alto do Mandu,Rua Padre Lemos,secondary
Casa Amarela,Casa Forte,Rua Padre Lemos,secondary
Casa Amarela,Monteiro,Rua Padre Lemos,secondary
Casa Amarela,Morro da Conceição,Rua Taquaratinga,tertiary
Casa Amarela,Parnamirim,Rua Padre Lemos,secondary
Casa Amarela,Poço da Panela,Rua Padre Lemos,secondary
Casa Amarela,Mangabeira,Rua Taquaratinga,tertiary
Casa Amarela,Nova Descoberta,Rua Padre Lemos,secondary
Casa Amarela,Vasco da Gama,Rua Padre Lemos,secondary
Casa Forte,Santana,Rua de Casa Forte,tertiary
Casa Forte,Casa Amarela,Rua de Casa Forte,tertiary
Casa Forte,Parnamirim,Rua Jerônimo de Albuquerque,tertiary
Casa Forte,Poço da Panela,Rua de Casa Forte,tertiary
Iputinga,Cidade Universitária,Rua Alagoana,residential
Iputinga,Engenho do Meio,Rua Alagoana,residential
Iputinga,Caxangá,Rua Alagoana,residential
Iputinga,Várzea,Rua Alagoana,residential
Iputinga,Cordeiro,Rua Alagoana,residential
Iputinga,Monteiro,Rua Doutor Virgínio Marquês,residential
Iputinga,Poço da Panela,Rua Doutor Virgínio Marquês,residential
Iputinga,Apipucos,Rua Doutor Virgínio Marquês,residential
Monteiro,Alto do Mandu,Rua Muniz Galvão,residential
Monteiro,Casa Amarela,Rua Muniz Galvão,residential
Monteiro,Iputinga,Rua Muniz Galvão,residential
Monteiro,Poço da Panela,Rua Muniz Galvão,residential
Monteiro,Apipucos,Rua Muniz Galvão,residential
Morro da Conceição,Alto José do Pinho,"['Rua I tabaiana', 'Rua do Dende']",residential
Morro da Conceição,Casa Amarela,"['Rua I tabaiana', 'Rua do Dende']",residential
Morro da Conceição,Alto José Bonifácio,"['Rua I tabaiana', 'Rua do Dende']",residential
